"PSC-5253","AMP","91537-1","PSC-1691","2/27/2021","2/27/2020"
"PSC-5226","ASTRO","M22520/2-01","PSC-1600","2/10/2021","2/10/2020"
"PSC-5222","HRS","HT305-DF57-2830HC","PSC-1275","2/6/2021","2/6/2020"
"PSC-5200","MOLEX","11-01-0185","PSC-1608","2/10/2021","2/10/2020"
"PSC-5069","MOLEX","11-01-0204","PSC-1445","1/21/2021","1/21/2020"
"PSC-5032","MOLEX","11-01-0208","PSC-1411","1/16/2021","1/16/2020"
"PSC-5025","MOLEX","63811-0200","PSC-1385","1/14/2021","1/15/2020"
"PSC-5027","MOLEX","63811-0800","PSC-1558","2/4/2021","2/4/2020"
"PSC-5034","MOLEX","63811-2800","PSC-1632","2/10/2021","2/10/2020"
"PSC-5071","MOLEX","63811-3600","PSC-1665","2/24/2021","2/24/2020"
"PSC-5094","MOLEX","63811-5000 ","PSC-1667","2/27/2021","2/27/2020"
"PSC-5053","MOLEX","63811-7400","PSC-1393","1/15/2021","1/15/2020"
"PSC-5055","MOLEX","63811-7400","PSC-1559","2/4/2021","2/4/2020"
"PSC-5057","MOLEX","63811-7400","PSC-1394","1/15/2021","1/15/2020"
"PSC-5079","MOLEX","63811-7500","PSC-1633","2/10/2021","2/10/2020"
"PSC-5022","MOLEX","63811-8800","PSC-1386","1/14/2021","1/15/2020"
"PSC-5209","MOLEX","63819-0000","PSC-1618","2/10/2021","2/10/2020"
"PSC-5167","MOLEX","63819-0300","PSC-1741","4/1/2021","4/1/2020"
"PSC-5160","MOLEX","63819-0500","PSC-1668","2/27/2021","2/27/2020"
"PSC-5161","MOLEX","63819-0500","PSC-1669","2/27/2021","2/27/2020"
"PSC-5163","MOLEX","63819-0900","PSC-1670","2/27/2021","2/27/2020"
"PSC-5164","MOLEX","63819-0900","PSC-1671","2/27/2021","2/27/2020"
"PSC-5016","MOLEX","63819-1500","PSC-1416","1/16/2021","1/16/2020"
"PSC-5206","MOLEX","64001-0400","PSC-1594","2/6/2021","2/6/2020"
"PSC-5140","MOLEX ","11-01-0194 ","PSC-1609","2/10/2021","2/10/2020"
"PSC-5138","MOLEX","57046-5000","PSC-1629","2/10/2021","2/10/2020"
"PSC-5212","PANDUIT","CT-1525","PSC-1031","2/6/2021","2/6/2020"
"PSC-5213","PANDUIT","CT-1525","PSC-1395","1/15/2021","1/15/2020"
"PSC-5225","XCELITE","ECP-000                                        ","PSC-1722","3/18/2021","3/18/2020"
"PSC-5230","DMC","M22520/1-01","PSC-1601","2/10/2021","2/10/2020"
"PSC-5004","HRS","AP105-DF11-2428S","PSC-1419","1/16/2021","1/16/2020"
"PSC-5003","HRS","AP105-DF14-2628S","PSC-1420","1/16/2021","1/16/2020"
"PSC-5001","HRS","AP105-DF57-2830S","PSC-1421","1/16/2021","1/16/2020"
"PSC-5006","JST","CMKS-L 1054","PSC-1422","1/16/2021","1/16/2020"
"PSC-5010","MOLEX","63900-4500","PSC-1423","1/16/2021","1/16/2020"
"PSC-5002","MOLEX","63900-3700","PSC-1560","2/4/2021","2/4/2020"
"PSC-5203","MOLEX","19284-0034","PSC-1644","2/10/2021","2/10/2020"
"PSC-5127","MOLEX","63811-6500","PSC-1405","1/16/2021","1/16/2020"
"PSC-5166","MOLEX","63819-1200","PSC-1645","2/10/2021","2/10/2020"
"PSC-5019","MOLEX","63811-0300","PSC-1619","2/10/2021","2/10/2020"
"PSC-5026","JST","CMKS-L 0941","PSC-1424","1/16/2021","1/16/2020"
"PSC-5039","AMP","539635-1","PSC-1620","2/10/2021","2/10/2020"
"PSC-5068","MOLEX","11-01-0204","PSC-1678","2/27/2021","2/27/2020"
"PSC-5201","MOLEX","11-01-0185","PSC-1610","2/10/2021","2/10/2020"
"PSC-5126","MOLEX","63811-8200","PSC-1417","1/16/2021","1/16/2020"
"PSC-5165","MOLEX","63819-1200","PSC-1646","2/10/2021","2/10/2020"
"PSC-5020","MOLEX","63811-0300","PSC-1621","2/10/2021","2/10/2020"
"PSC-5031","MOLEX","63811-8100","PSC-1634","2/10/2021","2/10/2020"
"PSC-5219","DELPHI","8913440","PSC-1742","4/1/2021","4/1/2020"
"PSC-5033","MOLEX","63811-8100","PSC-1635","2/10/2021","2/10/2020"
"PSC-5035","HRS","HT801/DF59-22P","PSC-1743","4/1/2021","4/1/2020"
"PSC-5036","HRS","HT801/DF59-22P","PSC-1744","4/1/2021","4/1/2020"
"PSC-5037","HRS","HT801/DF62-2428","PSC-1745","4/1/2021","4/1/2020"
"PSC-5038","HRS","HT801/DF62-2428","PSC-1746","4/1/2021","4/1/2020"
